Date,HE,MWh
1/19/2019,9,14303.41
1/19/2019,10,14318.95
1/19/2019,11,14396.35
1/19/2019,12,14593.29
1/19/2019,13,14559.14
1/19/2019,14,14662.69
1/19/2019,15,14917.42
1/19/2019,16,15246.6
1/19/2019,17,15971.52
1/19/2019,18,16702.09
1/19/2019,19,16536.11
1/19/2019,20,16088.26
1/19/2019,21,15527.82
1/19/2019,22,14847.72
1/19/2019,23,14205.59
1/19/2019,24,13209.96
1/20/2019,1,12433.6
1/20/2019,2,12155.82
1/20/2019,3,12335.94
1/20/2019,4,12527.44
1/20/2019,5,12619.53
1/20/2019,6,12704.9
1/20/2019,7,13149.79
1/20/2019,8,13461.2
1/20/2019,9,14305.88
1/20/2019,10,15004.31
1/20/2019,11,15677.55
1/20/2019,12,16195.27
1/20/2019,13,16507.15
1/20/2019,14,16443.28
1/20/2019,15,16333.76
1/20/2019,16,16326.12
1/20/2019,17,16726.95
1/20/2019,18,17597.03
1/20/2019,19,17380.46
1/20/2019,20,16761.06
1/20/2019,21,16554.21
1/20/2019,22,15960.94
1/20/2019,23,15464.22
1/20/2019,24,14558.3
1/21/2019,1,14160.93
1/21/2019,2,14273.72
1/21/2019,3,13973.1
1/21/2019,4,14044.39
1/21/2019,5,14383.65
1/21/2019,6,14915.27
1/21/2019,7,16047.05
1/21/2019,8,17039.8
1/21/2019,9,17826.86
1/21/2019,10,18370.5
1/21/2019,11,18762.48
1/21/2019,12,18961.11
1/21/2019,13,18956.62
1/21/2019,14,18949.02
1/21/2019,15,18990.05
1/21/2019,16,19127.38
1/21/2019,17,19720.58
1/21/2019,18,20708.94
1/21/2019,19,20609.92
1/21/2019,20,20142.47
1/21/2019,21,19397.35
1/21/2019,22,18346.73
1/21/2019,23,17059.06
1/21/2019,24,15958.66
1/22/2019,1,15271.38
1/22/2019,2,15191.31
1/22/2019,3,15033.81
1/22/2019,4,15042.45
1/22/2019,5,15355.09
1/22/2019,6,16007.1
1/22/2019,7,17586.81
1/22/2019,8,18563
1/22/2019,9,18638.45
1/22/2019,10,18299.53
1/22/2019,11,17958.73
1/22/2019,12,17650.69
1/22/2019,13,17495.44
1/22/2019,14,17369.19
1/22/2019,15,17508.77
1/22/2019,16,17507.53
1/22/2019,17,17950.62
1/22/2019,18,19027.04
1/22/2019,19,19060.2
1/22/2019,20,18611.78
1/22/2019,21,17944.35
1/22/2019,22,16897.81
1/22/2019,23,15852.92
1/22/2019,24,14834.89
1/23/2019,1,14649.05
1/23/2019,2,14346.18
1/23/2019,3,14427.97
1/23/2019,4,14415.59
1/23/2019,5,14276.14
1/23/2019,6,14619.76
1/23/2019,7,16208.93
1/23/2019,8,17081.55
